0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 319.000,Adres,"Gooikensstraat 6, 9300 Aalst",Type,Woning (Huis),Woonopp.,160 m²,Grondopp.,240 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,126 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 606,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAT,Days: 80,,,,,,,,,,
Prijs,€ 279.000,Adres,"Sint-Vincentiusstraat 21, 9300 Aalst",Type,Woning (Huis),Woonopp.,166 m²,Grondopp.,140 m²,Slaapkamers,3,Badkamers,1,Tuin,ZO,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,231 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOB2,Days: 68,,,,,,,,
Prijs,€ 285.000,Adres,"Nieuwbeekstraat 128, 9300 Aalst",Type,Woning (Huis),Woonopp.,143 m²,Grondopp.,93 m²,Slaapkamers,3,Badkamers,1,Tuin,NO,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,296 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAW,Days: 71,,,,,,,,,,
Prijs,€ 239.000,Adres,"Dokter De Moorstraat 48, 9300 Aalst",Type,Woning (Huis),Woonopp.,150 m²,Grondopp.,138 m²,Slaapkamers,3,Badkamers,1,Tuin,W,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,317 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAS,Days: 63,,,,,,,,
Prijs,€ 349.000,Adres,"Biekorfstraat 25, 9300 Aalst",Type,Villa (Huis),Woonopp.,250 m²,Grondopp.,1.381 m²,Slaapkamers,5,Badkamers,1,Garages,1,Tuin,ZO,Bebouwing,open,Bouwjaar,1970,EPC,717 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAZ,Days: 112,,,,,,,,
Prijs,€ 195.000,Adres,"Lange Zoutstraat 48, 9300 Aalst",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,80 m²,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,523 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.351,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIOAU,Days: 24,,,,,,,,,,,,
Prijs,€ 269.000,Adres,"Gentsestraat 31 / 24, 9300 Aalst",Type,Appartement,Woonopp.,op aanvraag »,Slaapkamers,2,Badkamers,1,Bouwjaar,2010,EPC,175 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 764,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIOAY,Days: 49,,,,,,,,,,,,,,
Prijs,€ 385.000,Adres,"Groenstraat 3, 9300 Aalst",Type,Woning (Huis),Woonopp.,165 m²,Grondopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Bebouwing,halfopen,Bouwjaar,2018,EPC,114 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAR,Days: 87,,,,,,,,,,,,
Prijs,€ 275.000,Adres,"Welvaartstraat 16, 9300 Aalst",Type,Woning (Huis),Woonopp.,130 m²,Grondopp.,230 m²,Slaapkamers,3,Badkamers,2,Tuin,NW,Bebouwing,gesloten,Bouwjaar,1930,EPC,312 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOAO,Days: 61,,,,,,,,,,
Prijs,€ 375.000,Adres,"Sterrebosstraat 5, 9320 Nieuwerkerken",Type,Woning (Huis),Woonopp.,160 m²,Grondopp.,297 m²,Slaapkamers,4,Badkamers,1,Garages,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/KIOAP,Days: 85,,,,,,,,,,
