0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 260.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,60 m²,Slaapkamers,1,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC1,Days: 14,,,,,,,,,,,,,,,,
Prijs,€ 365.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,101 m²,Slaapkamers,3,Badkamers,3,Tuin,Z,Bouwjaar,2023,EPC,25 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKBZ,Days: 19,,,,,,,,,,,,,,
Prijs,€ 320.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,85 m²,Slaapkamers,2,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC0,Days: 12,,,,,,,,,,,,,,,,
Prijs,€ 405.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,111 m²,Slaapkamers,3,Badkamers,3,Tuin,Z,Bouwjaar,2023,EPC,25 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBY,Days: 19,,,,,,,,,,,,,,
Prijs,€ 275.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,61 m²,Slaapkamers,1,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBV,Days: 13,,,,,,,,,,,,,,,,
Prijs,€ 335.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,89 m²,Slaapkamers,2,Tuin,ZO,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBW,Days: 11,,,,,,,,,,,,,,,,
Prijs,€ 320.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,90 m²,Slaapkamers,2,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBX,Days: 31,,,,,,,,,,,,,,,,
Prijs,€ 315.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,81 m²,Slaapkamers,2,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBU,Days: 17,,,,,,,,,,,,,,,,
Prijs,€ 159.000,Adres,"Marthe Boëlstraat 13, 9032 Wondelgem",Type,Bouwgrond (Grond),Grondopp.,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/wondelgem-9032/te-koop/grond/KIKBD,Days: 53,,,,,,,,,,,,,,,,,,,,,,
Prijs,€ 260.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,60 m²,Slaapkamers,1,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBT,Days: 18,,,,,,,,,,,,,,,,
Prijs,€ 365.000,Adres,"Raymonde de Larochelaan 1, 9000 Gent",Type,Appartement,Woonopp.,101 m²,Slaapkamers,3,Badkamers,3,Tuin,Z,Bouwjaar,2023,EPC,25 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKBQ,Days: 14,,,,,,,,,,,,,,
Prijs,€ 420.000,Adres,"Bloemistenstraat 21, 9040 Sint-Amandsberg",Type,Atelier (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,136 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/bedrijfsvastgoed/KIK7J,Days: 27,,,,,,,,,,,,
Prijs,€ 295.000,Adres,"Staf Bruggenstraat 22, 9040 Sint-Amandsberg",Type,Appartement,Woonopp.,100 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,1970,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 717,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/appartement/KIK7Q,Days: 65,,,,,,,,,,
Prijs,€ 420.000,Adres,"Bloemistenstraat 23, 9040 Sint-Amandsberg",Type,Woning (Huis),Woonopp.,220 m²,Grondopp.,100 m²,Slaapkamers,3,Badkamers,2,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/huis/KIK7H,Days: 98,,,,,,,,,,
Prijs,€ 219.000,Adres,"Sasstraat 70 / B, 9050 Ledeberg",Type,Penthouse (Appartement),Woonopp.,60 m²,Slaapkamers,1,Bouwjaar,op aanvraag »,EPC,208 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,onmiddellijk,https://www.zimmo.be/nl/ledeberg-9050/te-koop/appartement/KIK7L,Days: 65,,,,,,,,,,,,,,,,
Prijs,€ 420.000,Adres,"Bloemistenstraat 23, 9040 Sint-Amandsberg",Type,Tearoom (Bedrijfsvastgoed),Woonopp.,165 m²,Grondopp.,81 m²,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/bedrijfsvastgoed/KIK7I,Days: 12,,,,,,,,,,,,
Prijs,€ 749.000,Adres,"Edmond van Beverenplein 17, 9000 Gent",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,256 m²,Slaapkamers,6,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,355 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIK7N,Days: 70,,,,,,,,,,,,
Prijs,€ 59.000,Adres,"Abdijmolenstraat 32, 9031 Drongen",Type,Atelier (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Handelsopp.,35 m²,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/drongen-9031/te-koop/bedrijfsvastgoed/KIK7O,Days: 47,,,,,,,,,,,,
Prijs,€ 495.000,Adres,"Gérard Willemotlaan 91 / A, 9000 Gent",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIK73,Days: 103,,,,,,,,,,,,
Prijs,€ 545.000,Adres,"Gérard Willemotlaan 92, 9000 Gent",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,4,Badkamers,2,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIK6X,Days: 102,,,,,,,,,,,,
Prijs,€ 799.000,Adres,"Luchterenhof 1, 9031 Drongen",Type,Woning (Huis),Woonopp.,260 m²,Grondopp.,1.213 m²,Slaapkamers,4,Badkamers,1,Bebouwing,open,Bouwjaar,1995,EPC,198 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.308,https://www.zimmo.be/nl/drongen-9031/te-koop/huis/KIK6U,Days: 227,,,,,,,,,,
Prijs,€ 395.000,Adres,"Mageleinstraat 21 / G, 9000 Gent",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,110 m²,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/bedrijfsvastgoed/KIK67,Days: 29,,,,,,,,,,,,,,
Prijs,€ 230.000,Adres,"Johannes Schrantstraat 194, 9000 Gent",Type,Appartement,Woonopp.,80 m²,Slaapkamers,2,Badkamers,1,Tuin,ZO,Bouwjaar,1971,EPC,129 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 823,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIK5W,Days: 79,,,,,,,,,,,,
Prijs,€ 250.000,Adres,"Victor Braeckmanlaan 247, 9040 Sint-Amandsberg",Type,Appartement,Woonopp.,91 m²,Slaapkamers,2,Badkamers,1,Garages,2,Bouwjaar,1970,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 1.093,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/appartement/KIK30,Days: 52,,,,,,,,,,,,
Prijs,€ 349.000,Adres,"Kerkstraat 49, 9050 Gentbrugge",Type,Appartement,Woonopp.,85 m²,Slaapkamers,2,Badkamers,1,Tuin,ZW,Bouwjaar,1965,EPC,198 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 679,Vrij op,overeen te komen,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/appartement/KIK1Z,Days: 78,,,,,,,,,,
Prijs,€ 350.000,Adres,"Guldenspoorstraat 53, 9000 Gent",Type,Appartement,Woonopp.,71 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,182 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 860,Vrij op,na opzeg huur overeenkomst,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIK0U,Days: 42,,,,,,,,,,,,
Prijs,€ 295.000,Adres,"Abrikoosstraat 17, 9000 Gent",Type,Woning (Huis),Woonopp.,113 m²,Grondopp.,48 m²,Slaapkamers,4,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,273 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 235,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIJZ9,Days: 169,,,,,,,,
Prijs,€ 299.000,Adres,"Dahliastraat 91, 9000 Gent",Type,Woning (Huis),Woonopp.,157 m²,Grondopp.,149 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,1970,EPC,197 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 845,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIJZ7,Days: 533,,,,,,
Prijs,€ 389.000,Adres,"Coupure 458, 9000 Gent",Type,Appartement,Woonopp.,95 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,143 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIJVO,Days: 90,,,,,,,,,,,,,,,,
Prijs,€ 485.000,Adres,"Franklin Rooseveltlaan 125, 9000 Gent",Type,Appartement,Woonopp.,128 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,1962,EPC,124 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.274,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIJYY,Days: 56,,,,,,,,,,,,
