Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp.,Slaapkamers,Badkamers,Grondopp.,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp.,First,Last,Scraped
KB1I9,309750, Hogeweg 130-132,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,83,2,2,892, gesloten ,1, Z ,24.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KB1I9,,2023-09-12 00:00:00,,2023-10-06 00:00:00
KA69E,245000, Heuvel 55,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,349 k Wh / m Â²,165,5,1,375, gesloten ,1, Z ,324.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69E,,2022-11-16 00:00:00,,2023-10-06 00:00:00
KA69C,199000, Geraardsbergsesteenweg 152,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,486 k Wh / m Â²,135,1,1,320, halfopen ,1, Z ,88.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69C,,2023-07-10 00:00:00,,2023-10-06 00:00:00
K9MCH,280250, Ninovesteenweg 218/22,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,95,3,1,320, halfopen ,1, Z ,17.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCH,,2023-09-19 00:00:00,,2023-10-06 00:00:00
K9MCI,257000, Ninovesteenweg 218,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,,2,1,320, halfopen ,1, Z ,12.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCI,,2023-09-24 00:00:00,,2023-10-06 00:00:00
JXLVW,174000, I Jzerenwegstraat 25 A ,9320 Erembodegem , Atelier ( Bedrijfsvastgoed ),1967, Inaanvraag ,173,2,1,211, opaanvraag Â»,1, Z ,51.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/JXLVW, opaanvraag Â»,2023-08-16 00:00:00,,2023-10-06 00:00:00
JXLVV,174000, I Jzerenwegstraat 25 A ,9320 Erembodegem , Woning ( Huis ),1967, Inaanvraag ,137, opaanvraag Â»,1,211, gesloten ,1, Z ,281.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/JXLVV, opaanvraag Â»,2022-12-29 00:00:00,,2023-10-06 00:00:00
,,,,,,,,,,,,,,,,,,,2023-10-06
,,,,,,,,,,,,,,,,,,,2023-10-06
KHQCO,249000.0, Ninovesteenweg 24/2,9320 Erembodegem , Appartement ,1993,220 k Wh / m Â²,138.0,2,2.0,,,,,11.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KHQCO,,2023-09-25,,2023-10-06
048YS,275520.0, Ninovesteenweg 218,9320 Erembodegem , Project , opaanvraag Â», Bekijkinfo ,105.0, opaanvraag Â»,2.0,,,,,73.0,https://www.zimmo.be/nl/erembodegem-9300/te-koop/nieuwbouwproject/10048YS,,2023-07-25,,2023-10-06
KFCKW,305000.0, Driehoekstraat 25,9320 Erembodegem , Bouwgrond ( Grond ), opaanvraag Â», Bekijkinfo ,105.0, opaanvraag Â»,2.0,1740.0,,,,23.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KFCKW,,2023-09-13,,2023-10-06
KIDZ8,385000.0, Fazantenlaan 2 A ,9320 Erembodegem , Bungalow ( Huis ),1990,351 k Wh / m Â²,136.0,2,1.0,923.0, open ,1.0,,15.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIDZ8,,2023-09-21,,2023-10-06
KIAZX,259000.0, Kromme Elleboogstraat 24,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,662 k Wh / m Â²,230.0,4,1.0,377.0, gesloten ,1.0,,19.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIAZX,,2023-09-17,,2023-10-06
KIASZ,299000.0, Keppestraat 59,9320 Erembodegem , Woning ( Huis ),1987,173 k Wh / m Â²,224.0,4,2.0,180.0, gesloten ,1.0,,30.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIASZ,,2023-09-06,,2023-10-06
KIA0A,, Ninovesteenweg 97 bus 41,9300 Aalst , Uitzonderlijkewoning ( Huis ),2010,101 k Wh / m Â²,450.0,3,2.0,, open ,3.0,,30.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIA0A,,2023-09-06,,2023-10-06
KIA09,, Ninovesteenweg 97 bus 41,9300 Aalst , Penthouse ( Appartement ),2010,101 k Wh / m Â²,450.0,3,2.0,, open ,3.0,,18.0,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIA09,,2023-09-18,,2023-10-06
KI9AI,629000.0, Straatnietgekend ,, Villa ( Huis ), opaanvraag Â»,131 k Wh / m Â²,258.0,3,2.0,581.0, open ,1.0, Z ,13.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI9AI,,2023-09-23,,2023-10-06
KI901,309750.0, Straatnietgekend ,, Appartement ,2023,0 k Wh / m Â²,95.0,2,1.0,581.0, open ,1.0, Z W ,4.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KI901,,2023-10-02,,2023-10-06
KI4ZD,299000.0, Sint - Amandstraat 30,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,526 k Wh / m Â²,165.0,3,1.0,1680.0, opaanvraag Â»,1.0, Z W ,36.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI4ZD,,2023-08-31,,2023-10-06
KI0XZ,479000.0, Hageveld 20,9320 Erembodegem , Woning ( Huis ),1995,244 k Wh / m Â²,210.0,3,1.0,1230.0, open ,1.0, Z W ,20.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI0XZ,,2023-09-16,,2023-10-06
KHUBH,668451.0, Straatnietgekend ,, Woning ( Huis ), opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,637.0, halfopen ,1.0, Z W ,5.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KHUBH,,2023-10-01,,2023-10-06
KHSNQ,88000.0, Alfonsvande Maelestraat ,9320 Erembodegem , Bouwgrond ( Grond ), opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,564.0, halfopen ,1.0, Z W ,9.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNQ,,2023-09-27,,2023-10-06
KHSNT,192000.0, Alfonsvande Maelestraat ,9320 Erembodegem , Bouwgrond ( Grond ), opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,1065.0, halfopen ,1.0, Z W ,6.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNT,,2023-09-30,,2023-10-06
KHSNL,104000.0, Alfonsvande Maelestraat ,9320 Erembodegem , Bouwgrond ( Grond ), opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,531.0, halfopen ,1.0, Z W ,6.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNL,,2023-09-30,,2023-10-06
KHRB9,370000.0, Brusselbaan 203 A ,9320 Erembodegem , Grond , opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,1175.0, open ,1.0, Z W ,4.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB9,,2023-10-02,,2023-10-06
KHRAZ,185000.0, Brusselbaan 203 A ,9320 Erembodegem , Grond , opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,585.0, halfopen ,1.0, Z W ,2.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRAZ,,2023-10-04,,2023-10-06
KHRB1,145000.0, Kromme Elleboogstraat L O T 1,9320 Erembodegem , Grond , opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,380.0, halfopen ,1.0, Z W ,5.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB1,,2023-10-01,,2023-10-06
KHRB0,185000.0, Brusselbaan 203 A ,9320 Erembodegem , Grond , opaanvraag Â»,0 k Wh / m Â²,242.0,3,1.0,590.0, halfopen ,1.0, Z W ,3.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB0,,2023-10-03,,2023-10-06
KHIZ0,985000.0, Villalaan 10,9300 Aalst , Villa ( Huis ),1964,282 k Wh / m Â²,320.0,6,2.0,1121.0, open ,2.0, Z W ,48.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KHIZ0,,2023-08-19,,2023-10-06
KH4O6,675000.0, Erembodegem - Dorp 45,9300 Aalst , Appartementsgebouw ( Appartement ),1948, Inaanvraag ,,2,3.0,1121.0, open ,2.0, Z W ,19.0,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KH4O6,,2023-09-17,,2023-10-06
KH4O5,675000.0, Erembodegem - Dorp 45,9320 Erembodegem , Appartementsgebouw ( Appartement ),1948, Inaanvraag ,,2,3.0,1121.0, open ,2.0, Z W ,3.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KH4O5,,2023-10-03,,2023-10-06
KH3Z7,189000.0, Ninovesteenweg 2/2,9320 Erembodegem , Appartement ,1967,226 k Wh / m Â²,93.0,2,1.0,1121.0, open ,2.0, Z W ,24.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KH3Z7,,2023-09-12,,2023-10-06
