0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 425.000,Adres,"Straat niet gekend,",2660 Hoboken,Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,195 m²,Slaapkamers,3,Badkamers,2,Bebouwing,gesloten,Bouwjaar,1966,EPC,236 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 932,https://www.zimmo.be/nl/hoboken-2660/te-koop/huis/KIL1L,Days: 59,,,,,,,
Prijs,€ 449.000,Adres,"Steytelincklei 15, 2610 Wilrijk",Type,Eengezinswoning (Huis),Woonopp.,153 m²,Grondopp.,570 m²,Slaapkamers,2,Badkamers,1,Garages,1,Tuin,NO,Bebouwing,halfopen,Bouwjaar,1963,EPC,355 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.482,https://www.zimmo.be/nl/wilrijk-2610/te-koop/huis/KIL0Z,Days: 135,,,,
Prijs,€ 149.000,Adres,"Van Dornestraat 3 / 2, 2100 Deurne",Type,Appartement,Woonopp.,54 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1930,EPC,853 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 304,https://www.zimmo.be/nl/deurne-2100/te-koop/appartement/KIKZN,Days: 56,,,,,,,,,,,,
Prijs,€ 399.000,Adres,"Ringlaan 165, 2170 Merksem",Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,148 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Badkamers,2,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,229 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.653,https://www.zimmo.be/nl/merksem-2170/te-koop/bedrijfsvastgoed/KIKZ8,Days: 25,,,,,,
Prijs,€ 319.000,Adres,"Luitenant Lippenslaan 31 / 3, 2140 Borgerhout",Type,Appartement,Woonopp.,111 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,175 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/borgerhout-2140/te-koop/appartement/KIKZ6,Days: 17,,,,,,,,,,,,,,
Prijs,€ 285.000,Adres,"Nieuwdreef 19, 2160 Merksem",Type,Eengezinswoning (Huis),Woonopp.,125 m²,Grondopp.,110 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,1949,EPC,260 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 567,https://www.zimmo.be/nl/merksem-2160/te-koop/huis/KIKZ4,Days: 88,,,,,,
Prijs,€ 289.000,Adres,"Stenenbrug 103 / 3, 2140 Borgerhout",Type,Appartement,Woonopp.,95 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1920,EPC,131 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/borgerhout-2140/te-koop/appartement/KIKZ0,Days: 38,,,,,,,,,,,,,,
Prijs,€ 649.000,Adres,"Diksmuidelaan 202, 2600 Berchem",Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,291 m²,Grondopp.,183 m²,Handelsopp.,op aanvraag »,Badkamers,2,Bebouwing,halfopen,Bouwjaar,1961,EPC,216 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.404,https://www.zimmo.be/nl/berchem-2600/te-koop/bedrijfsvastgoed/KIKYW,Days: 21,,,,,,,,
Prijs,€ 395.000,Adres,"Flor Alpaertsstraat 4 / 9, 2600 Berchem",Type,Appartement,Woonopp.,133 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,1988,EPC,211 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KIKYX,Days: 67,,,,,,,,,,,,
Prijs,€ 215.000,Adres,"Weerstandlaan 61 / B8/5B, 2660 Hoboken",Type,Appartement,Woonopp.,85 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,1970,EPC,184 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 785,https://www.zimmo.be/nl/hoboken-2660/te-koop/appartement/KIKYI,Days: 30,,,,,,,,,,,,
