0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Prijs,€ 296.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Opslagplaats (Bedrijfsvastgoed),Woonopp.,210 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKRJ,Days: 26,,,,,,,,,
Prijs,€ 295.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,70 m²,Slaapkamers,1,Bouwjaar,2019,EPC,96 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKRL,Days: 61,,,,,,,,,,,,,,
Prijs,€ 310.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,95 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,404 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKRD,Days: 54,,,,,,,,,,,,
Prijs,€ 185.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,50 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,345 kWh/m²,Energieklasse,KI,€ 842,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKRG,Days: 92,,,,,,,,,,
Prijs,€ 999.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,700 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Badkamers,4,Bebouwing,gesloten,Bouwjaar,1957,EPC,303 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKRC,Days: 21,,,,,,,,
Prijs,€ 550.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,138 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,188 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKR9,Days: 38,,,,,,,,,,,,
Prijs,€ 725.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Opslagplaats (Bedrijfsvastgoed),Woonopp.,1.042 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 1.396,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKQZ,Days: 20,,,,,,,
Prijs,€ 319.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,96 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,2012,EPC,120 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKRA,Days: 57,,,,,,,,,,,,
Prijs,€ 250.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Staanplaats (Garage),Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,KI,€ 369,https://www.zimmo.be/nl/brussel-1000/te-koop/garage/KIKR3,Days: 20,,,,,,,,,,,,,,,
Prijs,€ 690.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,200 m²,Grondopp.,op aanvraag »,Handelsopp.,200 m²,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKQW,Days: 15,,,,,,,,,
Prijs,€ 250.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,40 m²,Grondopp.,op aanvraag »,Handelsopp.,40 m²,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKQS,Days: 10,,,,,,,,,
Prijs,€ 950.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKQT,Days: 11,,,,,,,,,
Prijs,€ 295.000,Adres,"Quai du Hainaut 15, 1000 Brussel",Type,Appartement,Woonopp.,67 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2023,EPC,20 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIK4O,Days: 46,,,,,,,,,,,,,
Prijs,€ 195.000,Adres,"Rue du Grand Hospice 3A, 1000 Brussel",Type,Appartement,Woonopp.,90 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,1900,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 1,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKLC,Days: 215,,,,,,,,
Prijs,€ 540.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,200 m²,Grondopp.,250 m²,Handelsopp.,200 m²,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKQU,Days: 11,,,,,,,,,
Prijs,€ 370.000,Adres,"Quai du Hainaut 15, 1000 Brussel",Type,Appartement,Woonopp.,89 m²,Slaapkamers,2,Bouwjaar,2023,EPC,20 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIK4R,Days: 49,,,,,,,,,,,,,,,
Prijs,€ 590.000,Adres,"Quai du Hainaut 15, 1000 Brussel",Type,Appartement,Woonopp.,120 m²,Slaapkamers,3,Badkamers,2,Bouwjaar,2023,EPC,20 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIK4L,Days: 26,,,,,,,,,,,,,
Prijs,€ 265.000,Adres,"Quai du Hainaut 15, 1000 Brussel",Type,Studio met slaaphoek (Appartement),Woonopp.,59 m²,Slaapkamers,op aanvraag »,Badkamers,1,Bouwjaar,2023,EPC,20 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIK4M,Days: 99,,,,,,,,,,,,,
Prijs,€ 289.000,Adres,"Straat niet gekend,",1020 Laken,Type,Appartement,Woonopp.,93 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,121 kWh/m²,Energieklasse,KI,€ 1.126,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KIJPZ,Days: 79,,,,,,,,,,
Prijs,€ 1.750.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,330 m²,Slaapkamers,3,Badkamers,3,Garages,1,Bouwjaar,1962,EPC,249 kWh/m²,Energieklasse,Vrij op,01/01/2024,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIJN9,Days: 42,,,,,,,,
