0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 334.200,Adres,"Brusselse steenweg 59, 9300 Aalst",Type,Project,Woonopp.,vanaf 105 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/aalst-9300/te-koop/nieuwbouwproject/1004DQ9,Days: 25,,,,,,,,,,,,,,,,
Prijs,€ 354.500,Adres,"Erembodegemstraat 4, 9300 Aalst",Type,Project,Woonopp.,vanaf 106 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/aalst-9300/te-koop/nieuwbouwproject/1004DQ8,Days: 22,,,,,,,,,,,,,,,,
Prijs,€ 329.000,Adres,"Straat niet gekend,",9300 Aalst,Type,Woning (Huis),Woonopp.,140 m²,Grondopp.,231 m²,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,268 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 436,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIEV3,Days: 271,,,,,,,
Prijs,€ 589.000,Adres,"Gustaaf Papestraat, 9300 Aalst",Type,Woning (Huis),Woonopp.,220 m²,Grondopp.,985 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,137 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.363,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIEV1,Days: 106,,,,,,
Prijs,€ 589.000,Adres,"Papestraat 66, 9320 Nieuwerkerken",Type,Woning (Huis),Woonopp.,220 m²,Grondopp.,985 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,137 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.363,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/KIEV2,Days: 50,,,,,,
Prijs,€ 219.990,Adres,"Moorselbaan 249, 9300 Aalst",Type,Woning (Huis),Woonopp.,180 m²,Grondopp.,450 m²,Slaapkamers,3,Badkamers,1,Tuin,Z,Bebouwing,op aanvraag »,Bouwjaar,1946,EPC,515 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIEJM,Days: 134,,,,,,,,
Prijs,€ 375.000,Adres,"Eikstraat 85 / A, 9300 Aalst",Type,Bel-étage (Huis),Woonopp.,170 m²,Grondopp.,op aanvraag »,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,2016,EPC,56 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIEG5,Days: 113,,,,,,,,
Prijs,€ 850.000,Adres,"Binnenstraat 33, 9300 Aalst",Type,Gemengd gebruik (Huis),Woonopp.,330 m²,Grondopp.,310 m²,Slaapkamers,5,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,90 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIECW,Days: 64,,,,,,,,,,
Prijs,€ 195.000,Adres,"Kwalestraat 61a, 9320 Nieuwerkerken",Type,Appartement,Woonopp.,100 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,1993,EPC,180 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 959,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/appartement/KIECV,Days: 48,,,,,,,,
Prijs,€ 375.000,Adres,"Eikstraat 85 / a, 9300 Aalst",Type,Appartement,Woonopp.,170 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,2020,EPC,56 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 500,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIE1H,Days: 109,,,,,,,,,,
Prijs,€ 599.000,Adres,"Posthoornstraat 94, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,301 m²,Slaapkamers,5,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,108 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.794,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIE0A,Days: 181,,,,,,,,
Prijs,€ 385.000,Adres,"Fazantenlaan 2A, 9320 Erembodegem",Type,Bungalow (Huis),Woonopp.,136 m²,Grondopp.,923 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1990,EPC,351 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.177,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIDZ8,Days: 140,,,,,,
Prijs,€ 385.000,Adres,"Fazantenlaan 2A, 9300 Aalst",Type,Bungalow (Huis),Woonopp.,136 m²,Grondopp.,923 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1990,EPC,351 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.177,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIDZJ,Days: 74,,,,,,
Prijs,€ 155.000,Adres,"Pontstraat 60, 9300 Aalst",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,117 m²,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,1930,EPC,In aanvraag,Renovatieplicht,Van toepassing,KI,€ 1.853,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIDX1,Days: 38,,,,,,
Prijs,€ 539.000,Adres,"Hoezekouterdreef 6, 9300 Aalst",Type,Villa (Huis),Woonopp.,320 m²,Grondopp.,880 m²,Slaapkamers,5,Badkamers,2,Garages,2,Tuin,ZO,Bebouwing,open,Bouwjaar,1971,EPC,583 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.913,Vrij op,bij akte na betaling,Video,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIDWA,Days: 112
Prijs,€ 899.000,Adres,"Dirk Martensstraat 27, 9300 Aalst",Type,Herenhuis (Huis),Woonopp.,360 m²,Grondopp.,310 m²,Slaapkamers,5,Badkamers,2,Tuin,NO,Bebouwing,gesloten,Bouwjaar,1930,EPC,127 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.412,Vrij op,bij akte na betaling,Video,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIDT9,Days: 163,,
Prijs,€ 277.500,Adres,"Leo de Béthunelaan 33, 9300 Aalst",Type,Appartement,Woonopp.,130 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,196 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 741,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIDJ8,Days: 211,,,,,,,,,,,,
Prijs,€ 250.000,Adres,"Moorselbaan 92, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,90 m²,Slaapkamers,4,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,220 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 475,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIDIO,Days: 318,,,,,,
Prijs,€ 349.000,Adres,"Werf 6, 9300 Aalst",Type,Appartement,Woonopp.,166 m²,Slaapkamers,3,Badkamers,2,Tuin,Z,Bouwjaar,1956,EPC,197 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIDE9,Days: 260,,,,,,,,,,,,
Prijs,€ 329.000,Adres,"Schoolstraat 70, 9320 Nieuwerkerken",Type,Woning (Huis),Woonopp.,140 m²,Grondopp.,231 m²,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,268 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 436,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/KID25,Days: 305,,,,,,,,
Prijs,€ 132.000,Adres,"Brouwerijstraat 2, 9300 Aalst",Type,Project,Woonopp.,vanaf 88 m²,Grondopp.,vanaf 88 m²,Slaapkamers,op aanvraag »,Bouwjaar,2021,EPC,Bekijk info,https://www.zimmo.be/nl/aalst-9300/te-koop/nieuwbouwproject/10048MM,Days: 426,,,,,,,,,,,,,,,,
Prijs,€ 998.000,Adres,"Gentsesteenweg 338, 9300 Aalst",Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,442 m²,Grondopp.,1.127 m²,Handelsopp.,op aanvraag »,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1974,EPC,180 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.663,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KICKE,Days: 35,,,,
Prijs,€ 998.000,Adres,"Gentsesteenweg 338, 9300 Aalst",Type,Villa (Huis),Woonopp.,442 m²,Grondopp.,1.127 m²,Slaapkamers,5,Badkamers,1,Garages,1,Tuin,Z,Bebouwing,open,Bouwjaar,1974,EPC,180 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.663,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KICK4,Days: 252,,
Prijs,€ 139.000,Adres,"Ouden Dendermondse Steenweg 141, 9300 Aalst",Type,Bouwgrond (Grond),Grondopp.,289 m²,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/grond/KICHY,Days: 80,,,,,,,,,,,,,,,,,,,,
Prijs,€ 224.900,Adres,"Moorselbaan 171, 9300 Aalst",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,130 m²,Grondopp.,60 m²,Handelsopp.,op aanvraag »,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,453 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 562,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KICEG,Days: 23,,,,,,
Prijs,€ 224.900,Adres,"Moorselbaan 171, 9300 Aalst",Type,Woning (Huis),Woonopp.,130 m²,Grondopp.,60 m²,Slaapkamers,1,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,453 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 562,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KICEF,Days: 146,,,,,,
Prijs,€ 639.000,Adres,"Kerselaarstraat 2, 9300 Aalst",Type,Villa (Huis),Woonopp.,265 m²,Grondopp.,806 m²,Slaapkamers,4,Badkamers,2,Garages,1,Tuin,Z,Bebouwing,open,Bouwjaar,1966,EPC,161 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.474,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIC7G,Days: 325,,
Prijs,€ 475.871,Adres,"Kerkmeersstraat 56-68, 9320 Nieuwerkerken",Type,Project,Woonopp.,vanaf 170 m²,Grondopp.,vanaf 174 m²,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/nieuwbouwproject/1004DOT,Days: 55,,,,,,,,,,,,,,,,
